Handwriting_Sample,Writing_Speed_wpm,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Gender,Age,Feature_Slant angle of handwriting,Feature_Letter spacing consistency,Feature_Letter spacing consistency,Feature_Line alignment (straight or curved writing),Feature_Loop formation in letters,Feature_Stroke smoothness,Feature_Word spacing variability,Feature_Letter size consistency,Feature_Pen lift frequency,Feature_Overall legibility score,Feature_Cursive vs. print writing tendency,Feature_Speed fluctuations (within a single sentence),Feature_Pen tilt direction,Feature_Ink darkness variation,Feature_Number of strokes per letter
sample_1.jpg,60,0.357203184,0.407442296,0.724947002,0.451516729,0.255107361,Male,45,0.146139407,0.289895256,0.283814916,0.617406457,0.996250154,0.985927168,0.745626189,0.923922321,0.039155081,0.277361017,0.832097545,0.31912777,0.199212883,0.241081113,0.375978019
sample_2.jpg,32,0.730250486,0.051950142,0.351614749,0.528413321,0.664159164,Male,36,0.802833321,0.548934491,0.45931873,0.793431749,0.563419204,0.893978855,0.114379639,0.48416658,0.022397224,0.436322161,0.908627469,0.220743827,0.650947434,0.568464262,0.660061699
sample_3.jpg,10,0.836986904,0.162227485,0.164681001,0.816008267,0.681869972,Other,34,0.452512536,0.44170558,0.844920025,0.601960004,0.480748198,0.941273508,0.950571177,0.485661435,0.277388295,0.873560105,0.566972576,0.205401979,0.537799667,0.323519337,0.37335821
sample_4.jpg,12,0.413418634,0.363059142,0.131564244,0.938349643,0.23670162,Male,26,0.832661661,0.27928296,0.748973669,0.798154683,0.952190396,0.831041416,0.21724411,0.351700548,0.464858555,0.867757754,0.298406915,0.350210311,0.591122258,0.802049234,0.131323994
sample_5.jpg,11,0.616046348,0.247898813,0.909739759,0.698965717,0.46377423,Other,57,0.927784895,0.852797759,0.944788978,0.772619984,0.520304627,0.797505073,0.186377931,0.113622502,0.299513858,0.295555227,0.365065491,0.210633326,0.72319477,0.044085164,0.014351121
sample_6.jpg,44,0.911009241,0.883411649,0.217110504,0.411915853,0.008873347,Male,52,0.638107111,0.144740164,0.528364994,0.210795383,0.410935821,0.739172389,0.986757661,0.264414466,0.207272454,0.145919566,0.512576056,0.528003576,0.488664337,0.337251018,0.159983337
sample_7.jpg,40,0.887028664,0.053077374,0.828691097,0.318326856,0.277545306,Other,20,0.163289068,0.456261388,0.353200904,0.575535516,0.925343389,0.367261538,0.251157691,0.619200096,0.707650727,0.49963929,0.999715352,0.948720089,0.021070002,0.863850132,0.497232957
sample_8.jpg,27,0.337073081,0.809308627,0.316069174,0.517331086,0.449469576,Male,19,0.969887956,0.573200486,0.435687653,0.13829428,0.633939421,0.113894542,0.169119543,0.40342142,0.848974088,0.906637568,0.891706836,0.249135486,0.689038357,0.110508625,0.105429983
sample_9.jpg,53,0.800429822,0.136945295,0.715201026,0.051212742,0.055772431,Other,50,0.184607247,0.791570091,0.507967406,0.664651882,0.198754852,0.457707416,0.47325619,0.949421522,0.884581017,0.875505372,0.503568401,0.451521657,0.551275548,0.438193855,0.500834622
sample_10.jpg,58,0.755747048,0.982448017,0.340624751,0.483081861,0.401817121,Male,38,0.754739825,0.741001573,0.435946936,0.753527248,0.154732586,0.29380984,0.127915062,0.386098014,0.199647414,0.643288188,0.490548396,0.431274311,0.167472618,0.677277894,0.654709867
